aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 kirjanpidollinen, kirjanpidollisen, kirjanpidollista, kirjanpidollisena, kirjanpidolliseen, kirjanpidollisten, kirjanpidollisia, kirjanpidollisina, kirjanpidollisissa, kirjanpidollisiin
 kirjava, kirjavan, kirjavaa, kirjavana, kirjavaan, kirjavien, kirjavia, kirjavina, kirjavissa, kirjaviin
 kirjeellinen, kirjeellisen, kirjeellistä, kirjeellisenä, kirjeelliseen, kirjeellisten, kirjeellisiä, kirjeellisinä, kirjeellisissä, kirjeellisiin
 kirkas, kirkkaan, kirkasta, kirkkaana, kirkkaaseen, kirkkaiden, kirkkaita, kirkkaina, kirkkaissa, kirkkaisiin
 kirkollinen, kirkollisen, kirkollista, kirkollisena, kirkolliseen, kirkollisten, kirkollisia, kirkollisina, kirkollisissa, kirkollisiin
 kirpeä, kirpeän, kirpeää, kirpeänä, kirpeään, kirpeiden, kirpeitä, kirpeinä, kirpeissä, kirpeisiin
 kirurginen, kirurgisen, kirurgista, kirurgisena, kirurgiseen, kirurgisten, kirurgisia, kirurgisina, kirurgisissa, kirurgisiin
 kitkerä, kitkerän, kitkerää, kitkeränä, kitkerään, kitkerien, kitkeriä, kitkerinä, kitkerissä, kitkeriin
 kitsas, kitsaan, kitsasta, kitsaana, kitsaaseen, kitsaiden, kitsaita, kitsaina, kitsaissa, kitsaisiin
 kitulias, kituliaan, kituliasta, kituliaana, kituliaaseen, kituliaiden, kituliaita, kituliaina, kituliaissa, kituliaisiin
 kiukkuinen, kiukkuisen, kiukkuista, kiukkuisena, kiukkuiseen, kiukkuisten, kiukkuisia, kiukkuisina, kiukkuisissa, kiukkuisiin
 kiusallinen, kiusallisen, kiusallista, kiusallisena, kiusalliseen, kiusallisten, kiusallisia, kiusallisina, kiusallisissa, kiusallisiin
 kiva, kivan, kivaa, kivana, kivaan, kivojen, kivoja, kivoina, kivoissa, kivoihin
 kiverä, kiverän, kiverää, kiveränä, kiverään, kiverien, kiveriä, kiverinä, kiverissä, kiveriin
 kivulias, kivuliaan, kivuliasta, kivuliaana, kivuliaaseen, kivuliaiden, kivuliaita, kivuliaina, kivuliaissa, kivuliaisiin
 klassinen, klassisen, klassista, klassisena, klassiseen, klassisten, klassisia, klassisina, klassisissa, klassisiin
 kliininen, kliinisen, kliinistä, kliinisenä, kliiniseen, kliinisten, kliinisiä, kliinisinä, kliinisissä, kliinisiin
 kodikas, kodikkaan, kodikasta, kodikkaana, kodikkaaseen, kodikkaiden, kodikkaita, kodikkaina, kodikkaissa, kodikkaisiin
 kohtainen, kohtaisen, kohtaista, kohtaisena, kohtaiseen, kohtaisten, kohtaisia, kohtaisina, kohtaisissa, kohtaisiin
 kohtalokas, kohtalokkaan, kohtalokasta, kohtalokkaana, kohtalokkaaseen, kohtalokkaiden, kohtalokkaita, kohtalokkaina, kohtalokkaissa, kohtalokkaisiin
 kohtelias, kohteliaan, kohteliasta, kohteliaana, kohteliaaseen, kohteliaiden, kohteliaita, kohteliaina, kohteliaissa, kohteliaisiin
 kohtuullinen, kohtuullisen, kohtuullista, kohtuullisena, kohtuulliseen, kohtuullisten, kohtuullisia, kohtuullisina, kohtuullisissa, kohtuullisiin
 kokeellinen, kokeellisen, kokeellista, kokeellisena, kokeelliseen, kokeellisten, kokeellisia, kokeellisina, kokeellisissa, kokeellisiin
 kokenut, kokeneen, kokenutta, kokeneena, kokeneeseen, kokeneiden, kokeneita, kokeneina, kokeneissa, kokeneisiin
 kolea, kolean, koleaa, koleana, koleaan, koleiden, koleita, koleina, koleissa, koleisiin
 kollektiivinen, kollektiivisen, kollektiivista, kollektiivisena, kollektiiviseen, kollektiivisten, kollektiivisia, kollektiivisina, kollektiivisissa, kollektiivisiin
 kolme, kolmen, kolmea, kolmena, kolmeen, kolmien, kolmeja, kolmeina, kolmeissa, kolmeihin
 komea, komean, komeaa, komeana, komeaan, komeiden, komeita, komeina, komeissa, komeisiin
 koneellinen, koneellisen, koneellista, koneellisena, koneelliseen, koneellisten, koneellisia, koneellisina, koneellisissa, koneellisiin
 konkreettinen, konkreettisen, konkreettista, konkreettisena, konkreettiseen, konkreettisten, konkreettisia, konkreettisina, konkreettisissa, konkreettisiin
 konservatiivinen, konservatiivisen, konservatiivista, konservatiivisena, konservatiiviseen, konservatiivisten, konservatiivisia, konservatiivisina, konservatiivisissa, konservatiivisiin
 konstikas, konstikkaan, konstikasta, konstikkaana, konstikkaaseen, konstikkaiden, konstikkaita, konstikkaina, konstikkaissa, konstikkaisiin
 koominen, koomisen, koomista, koomisena, koomiseen, koomisten, koomisia, koomisina, koomisissa, koomisiin
 kopea, kopean, kopeaa, kopeana, kopeaan, kopeiden, kopeita, kopeina, kopeissa, kopeisiin
 koppava, koppavan, koppavaa, koppavana, koppavaan, koppavien, koppavia, koppavina, koppavissa, koppaviin
 korea, korean, koreaa, koreana, koreaan, koreiden, koreita, koreina, koreissa, koreisiin
 korea, korean, koreaa, koreana, koreaan, koreiden, koreita, koreina, koreissa, koreisiin
 koristeellinen, koristeellisen, koristeellista, koristeellisena, koristeelliseen, koristeellisten, koristeellisia, koristeellisina, koristeellisissa, koristeellisiin
 korkea, korkean, korkeaa, korkeana, korkeaan, korkeiden, korkeita, korkeina, korkeissa, korkeisiin
 korosteinen, korosteisen, korosteista, korosteisena, korosteiseen, korosteisten, korosteisia, korosteisina, korosteisissa, korosteisiin
 korrekti, korrektin, korrektia, korrektina, korrektiin, korrektien, korrekteja, korrekteina, korrekteissa, korrekteihin
 korskea, korskean, korskeaa, korskeana, korskeaan, korskeiden, korskeita, korskeina, korskeissa, korskeisiin
 kostea, kostean, kosteaa, kosteana, kosteaan, kosteiden, kosteita, kosteina, kosteissa, kosteisiin
 kotoinen, kotoisen, kotoista, kotoisena, kotoiseen, kotoisten, kotoisia, kotoisina, kotoisissa, kotoisiin
 kova, kovan, kovaa, kovana, kovaan, kovien, kovia, kovina, kovissa, koviin
 kriittinen, kriittisen, kriittistä, kriittisenä, kriittiseen, kriittisten, kriittisiä, kriittisinä, kriittisissä, kriittisiin
 kristillinen, kristillisen, kristillistä, kristillisenä, kristilliseen, kristillisten, kristillisiä, kristillisinä, kristillisissä, kristillisiin
 kronologinen, kronologisen, kronologista, kronologisena, kronologiseen, kronologisten, kronologisia, kronologisina, kronologisissa, kronologisiin
 krooninen, kroonisen, kroonista, kroonisena, krooniseen, kroonisten, kroonisia, kroonisina, kroonisissa, kroonisiin
 kuiva, kuivan, kuivaa, kuivana, kuivaan, kuivien, kuivia, kuivina, kuivissa, kuiviin
 kujeellinen, kujeellisen, kujeellista, kujeellisena, kujeelliseen, kujeellisten, kujeellisia, kujeellisina, kujeellisissa, kujeellisiin
 kulmikas, kulmikkaan, kulmikasta, kulmikkaana, kulmikkaaseen, kulmikkaiden, kulmikkaita, kulmikkaina, kulmikkaissa, kulmikkaisiin
 kultainen, kultaisen, kultaista, kultaisena, kultaiseen, kultaisten, kultaisia, kultaisina, kultaisissa, kultaisiin
 kulttuurinen, kulttuurisen, kulttuurista, kulttuurisena, kulttuuriseen, kulttuuristen, kulttuurisia, kulttuurisina, kulttuurisissa, kulttuurisiin
 kumea, kumean, kumeaa, kumeana, kumeaan, kumeiden, kumeita, kumeina, kumeissa, kumeisiin
 kumma, kumman, kummaa, kummana, kummaan, kummien, kummia, kummina, kummissa, kummiin
 kummallinen, kummallisen, kummallista, kummallisena, kummalliseen, kummallisten, kummallisia, kummallisina, kummallisissa, kummallisiin
 kuninkaallinen, kuninkaallisen, kuninkaallista, kuninkaallisena, kuninkaalliseen, kuninkaallisten, kuninkaallisia, kuninkaallisina, kuninkaallisissa, kuninkaallisiin
 kunniakas, kunniakkaan, kunniakasta, kunniakkaana, kunniakkaaseen, kunniakkaiden, kunniakkaita, kunniakkaina, kunniakkaissa, kunniakkaisiin
 kunniallinen, kunniallisen, kunniallista, kunniallisena, kunnialliseen, kunniallisten, kunniallisia, kunniallisina, kunniallisissa, kunniallisiin
 kunnioitettava, kunnioitettavan, kunnioitettavaa, kunnioitettavana, kunnioitettavaan, kunnioitettavien, kunnioitettavia, kunnioitettavina, kunnioitettavissa, kunnioitettaviin
 kunnioittava, kunnioittavan, kunnioittavaa, kunnioittavana, kunnioittavaan, kunnioittavien, kunnioittavia, kunnioittavina, kunnioittavissa, kunnioittaviin
 kunnollinen, kunnollisen, kunnollista, kunnollisena, kunnolliseen, kunnollisten, kunnollisia, kunnollisina, kunnollisissa, kunnollisiin
 kuolettava, kuolettavan, kuolettavaa, kuolettavana, kuolettavaan, kuolettavien, kuolettavia, kuolettavina, kuolettavissa, kuolettaviin
 kurillinen, kurillisen, kurillista, kurillisena, kurilliseen, kurillisten, kurillisia, kurillisina, kurillisissa, kurillisiin
 kurja, kurjan, kurjaa, kurjana, kurjaan, kurjien, kurjia, kurjina, kurjissa, kurjiin
 kursorinen, kursorisen, kursorista, kursorisena, kursoriseen, kursoristen, kursorisia, kursorisina, kursorisissa, kursorisiin
 kuuliainen, kuuliaisen, kuuliaista, kuuliaisena, kuuliaiseen, kuuliaisten, kuuliaisia, kuuliaisina, kuuliaisissa, kuuliaisiin
 kuultava, kuultavan, kuultavaa, kuultavana, kuultavaan, kuultavien, kuultavia, kuultavina, kuultavissa, kuultaviin
 kuultava, kuultavan, kuultavaa, kuultavana, kuultavaan, kuultavien, kuultavia, kuultavina, kuultavissa, kuultaviin
 kuuluva, kuuluvan, kuuluvaa, kuuluvana, kuuluvaan, kuuluvien, kuuluvia, kuuluvina, kuuluvissa, kuuluviin
 kuuma, kuuman, kuumaa, kuumana, kuumaan, kuumien, kuumia, kuumina, kuumissa, kuumiin
 kuumeinen, kuumeisen, kuumeista, kuumeisena, kuumeiseen, kuumeisten, kuumeisia, kuumeisina, kuumeisissa, kuumeisiin
 kuutiollinen, kuutiollisen, kuutiollista, kuutiollisena, kuutiolliseen, kuutiollisten, kuutiollisia, kuutiollisina, kuutiollisissa, kuutiollisiin
 kuvaannollinen, kuvaannollisen, kuvaannollista, kuvaannollisena, kuvaannolliseen, kuvaannollisten, kuvaannollisia, kuvaannollisina, kuvaannollisissa, kuvaannollisiin
 kuvallinen, kuvallisen, kuvallista, kuvallisena, kuvalliseen, kuvallisten, kuvallisia, kuvallisina, kuvallisissa, kuvallisiin
 kvalitatiivinen, kvalitatiivisen, kvalitatiivista, kvalitatiivisena, kvalitatiiviseen, kvalitatiivisten, kvalitatiivisia, kvalitatiivisina, kvalitatiivisissa, kvalitatiivisiin
 kvantitatiivinen, kvantitatiivisen, kvantitatiivista, kvantitatiivisena, kvantitatiiviseen, kvantitatiivisten, kvantitatiivisia, kvantitatiivisina, kvantitatiivisissa, kvantitatiivisiin
 kylmä, kylmän, kylmää, kylmänä, kylmään, kylmien, kylmiä, kylminä, kylmissä, kylmiin
 kypsä, kypsän, kypsää, kypsänä, kypsään, kypsien, kypsiä, kypsinä, kypsissä, kypsiin
 kysyvä, kysyvän, kysyvää, kysyvänä, kysyvään, kysyvien, kysyviä, kysyvinä, kysyvissä, kysyviin
 kyyninen, kyynisen, kyynistä, kyynisenä, kyyniseen, kyynisten, kyynisiä, kyynisinä, kyynisissä, kyynisiin
 käheä, käheän, käheää, käheänä, käheään, käheiden, käheitä, käheinä, käheissä, käheisiin
 kärjekäs, kärjekkään, kärjekästä, kärjekkäänä, kärjekkääseen, kärjekkäiden, kärjekkäitä, kärjekkäinä, kärjekkäissä, kärjekkäisiin
 kärkevä, kärkevän, kärkevää, kärkevänä, kärkevään, kärkevien, kärkeviä, kärkevinä, kärkevissä, kärkeviin
 kärkäs, kärkkään, kärkästä, kärkkäänä, kärkkääseen, kärkkäiden, kärkkäitä, kärkkäinä, kärkkäissä, kärkkäisiin
 kärsivällinen, kärsivällisen, kärsivällistä, kärsivällisenä, kärsivälliseen, kärsivällisten, kärsivällisiä, kärsivällisinä, kärsivällisissä, kärsivällisiin
 kärttyisä, kärttyisän, kärttyisää, kärttyisänä, kärttyisään, kärttyisien, kärttyisiä, kärttyisinä, kärttyisissä, kärttyisiin
 käsitteellinen, käsitteellisen, käsitteellistä, käsitteellisenä, käsitteelliseen, käsitteellisten, käsitteellisiä, käsitteellisinä, käsitteellisissä, käsitteellisiin
 kätevä, kätevän, kätevää, kätevänä, kätevään, kätevien, käteviä, kätevinä, kätevissä, käteviin
 kätinen, kätisen, kätistä, kätisenä, kätiseen, kätisten, kätisiä, kätisinä, kätisissä, kätisiin
 käytännöllinen, käytännöllisen, käytännöllistä, käytännöllisenä, käytännölliseen, käytännöllisten, käytännöllisiä, käytännöllisinä, käytännöllisissä, käytännöllisiin
 käyvä, käyvän, käyvää, käyvänä, käyvään, käyvien, käyviä, käyvinä, käyvissä, käyviin
 käänteinen, käänteisen, käänteistä, käänteisenä, käänteiseen, käänteisten, käänteisiä, käänteisinä, käänteisissä, käänteisiin
 kömpelö, kömpelön, kömpelöä, kömpelönä, kömpelöön, kömpelöjen, kömpelöjä, kömpelöinä, kömpelöissä, kömpelöihin
 köyhä, köyhän, köyhää, köyhänä, köyhään, köyhien, köyhiä, köyhinä, köyhissä, köyhiin
 köykäinen, köykäisen, köykäistä, köykäisenä, köykäiseen, köykäisten, köykäisiä, köykäisinä, köykäisissä, köykäisiin
 laadukas, laadukkaan, laadukasta, laadukkaana, laadukkaaseen, laadukkaiden, laadukkaita, laadukkaina, laadukkaissa, laadukkaisiin
 laadullinen, laadullisen, laadullista, laadullisena, laadulliseen, laadullisten, laadullisia, laadullisina, laadullisissa, laadullisiin
 laaja, laajan, laajaa, laajana, laajaan, laajojen, laajoja, laajoina, laajoissa, laajoihin
 labiili, labiilin, labiilia, labiilina, labiiliin, labiilien, labiileja, labiileina, labiileissa, labiileihin
 lahjakas, lahjakkaan, lahjakasta, lahjakkaana, lahjakkaaseen, lahjakkaiden, lahjakkaita, lahjakkaina, lahjakkaissa, lahjakkaisiin
 laillinen, laillisen, laillista, laillisena, lailliseen, laillisten, laillisia, laillisina, laillisissa, laillisiin
 laiska, laiskan, laiskaa, laiskana, laiskaan, laiskojen, laiskoja, laiskoina, laiskoissa, laiskoihin
 lakoninen, lakonisen, lakonista, lakonisena, lakoniseen, lakonisten, lakonisia, lakonisina, lakonisissa, lakonisiin
 lapsekas, lapsekkaan, lapsekasta, lapsekkaana, lapsekkaaseen, lapsekkaiden, lapsekkaita, lapsekkaina, lapsekkaissa, lapsekkaisiin
 lapsellinen, lapsellisen, lapsellista, lapsellisena, lapselliseen, lapsellisten, lapsellisia, lapsellisina, lapsellisissa, lapsellisiin
 laskennallinen, laskennallisen, laskennallista, laskennallisena, laskennalliseen, laskennallisten, laskennallisia, laskennallisina, laskennallisissa, laskennallisiin
 lattea, lattean, latteaa, latteana, latteaan, latteiden, latteita, latteina, latteissa, latteisiin
 lauhkea, lauhkean, lauhkeaa, lauhkeana, lauhkeaan, lauhkeiden, lauhkeita, lauhkeina, lauhkeissa, lauhkeisiin
 laulava, laulavan, laulavaa, laulavana, laulavaan, laulavien, laulavia, laulavina, laulavissa, laulaviin
 laupias, laupiaan, laupiasta, laupiaana, laupiaaseen, laupiaiden, laupiaita, laupiaina, laupiaissa, laupiaisiin
 lavea, lavean, laveaa, laveana, laveaan, laveiden, laveita, laveina, laveissa, laveisiin
 leikillinen, leikillisen, leikillistä, leikillisenä, leikilliseen, leikillisten, leikillisiä, leikillisinä, leikillisissä, leikillisiin
 leikkisä, leikkisän, leikkisää, leikkisänä, leikkisään, leikkisien, leikkisiä, leikkisinä, leikkisissä, leikkisiin
 lemmekäs, lemmekkään, lemmekästä, lemmekkäänä, lemmekkääseen, lemmekkäiden, lemmekkäitä, lemmekkäinä, lemmekkäissä, lemmekkäisiin
 lempeä, lempeän, lempeää, lempeänä, lempeään, lempeiden, lempeitä, lempeinä, lempeissä, lempeisiin
 lennokas, lennokkaan, lennokasta, lennokkaana, lennokkaaseen, lennokkaiden, lennokkaita, lennokkaina, lennokkaissa, lennokkaisiin
 leppeä, leppeän, leppeää, leppeänä, leppeään, leppeiden, leppeitä, leppeinä, leppeissä, leppeisiin
 leppoisa, leppoisan, leppoisaa, leppoisana, leppoisaan, leppoisien, leppoisia, leppoisina, leppoisissa, leppoisiin
 lepsu, lepsun, lepsua, lepsuna, lepsuun, lepsujen, lepsuja, lepsuina, lepsuissa, lepsuihin
 letkeä, letkeän, letkeää, letkeänä, letkeään, letkeiden, letkeitä, letkeinä, letkeissä, letkeisiin
 leuhka, leuhkan, leuhkaa, leuhkana, leuhkaan, leuhkojen, leuhkoja, leuhkoina, leuhkoissa, leuhkoihin
 leukava, leukavan, leukavaa, leukavana, leukavaan, leukavien, leukavia, leukavina, leukavissa, leukaviin
 leveä, leveän, leveää, leveänä, leveään, leveiden, leveitä, leveinä, leveissä, leveisiin
 levollinen, levollisen, levollista, levollisena, levolliseen, levollisten, levollisia, levollisina, levollisissa, levollisiin
 liberaali, liberaalin, liberaalia, liberaalina, liberaaliin, liberaalien, liberaaleja, liberaaleina, liberaaleissa, liberaaleihin
 liberaalinen, liberaalisen, liberaalista, liberaalisena, liberaaliseen, liberaalisten, liberaalisia, liberaalisina, liberaalisissa, liberaalisiin
 liehakas, liehakkaan, liehakasta, liehakkaana, liehakkaaseen, liehakkaiden, liehakkaita, liehakkaina, liehakkaissa, liehakkaisiin
 lievä, lievän, lievää, lievänä, lievään, lievien, lieviä, lievinä, lievissä, lieviin
 liikkuva, liikkuvan, liikkuvaa, liikkuvana, liikkuvaan, liikkuvien, liikkuvia, liikkuvina, liikkuvissa, liikkuviin
 liikuttava, liikuttavan, liikuttavaa, liikuttavana, liikuttavaan, liikuttavien, liikuttavia, liikuttavina, liikuttavissa, liikuttaviin
 likeinen, likeisen, likeistä, likeisenä, likeiseen, likeisten, likeisiä, likeisinä, likeisissä, likeisiin
 linjakas, linjakkaan, linjakasta, linjakkaana, linjakkaaseen, linjakkaiden, linjakkaita, linjakkaina, linjakkaissa, linjakkaisiin
 lipevä, lipevän, lipevää, lipevänä, lipevään, lipevien, lipeviä, lipevinä, lipevissä, lipeviin
 liukas, liukkaan, liukasta, liukkaana, liukkaaseen, liukkaiden, liukkaita, liukkaina, liukkaissa, liukkaisiin
 loistava, loistavan, loistavaa, loistavana, loistavaan, loistavien, loistavia, loistavina, loistavissa, loistaviin
 loistelias, loisteliaan, loisteliasta, loisteliaana, loisteliaaseen, loisteliaiden, loisteliaita, loisteliaina, loisteliaissa, loisteliaisiin
 loiva, loivan, loivaa, loivana, loivaan, loivien, loivia, loivina, loivissa, loiviin
 lojaali, lojaalin, lojaalia, lojaalina, lojaaliin, lojaalien, lojaaleja, lojaaleina, lojaaleissa, lojaaleihin
 lojaalinen, lojaalisen, lojaalista, lojaalisena, lojaaliseen, lojaalisten, lojaalisia, lojaalisina, lojaalisissa, lojaalisiin
 lokoisa, lokoisan, lokoisaa, lokoisana, lokoisaan, lokoisien, lokoisia, lokoisina, lokoisissa, lokoisiin
 looginen, loogisen, loogista, loogisena, loogiseen, loogisten, loogisia, loogisina, loogisissa, loogisiin
 lopullinen, lopullisen, lopullista, lopullisena, lopulliseen, lopullisten, lopullisia, lopullisina, lopullisissa, lopullisiin
 luihu, luihun, luihua, luihuna, luihuun, luihujen, luihuja, luihuina, luihuissa, luihuihin
 luja, lujan, lujaa, lujana, lujaan, lujien, lujia, lujina, lujissa, lujiin
 lukuisa, lukuisan, lukuisaa, lukuisana, lukuisaan, lukuisien, lukuisia, lukuisina, lukuisissa, lukuisiin
 lunki, lunkin, lunkia, lunkina, lunkiin, lunkien, lunkeja, lunkeina, lunkeissa, lunkeihin
 luonnikas, luonnikkaan, luonnikasta, luonnikkaana, luonnikkaaseen, luonnikkaiden, luonnikkaita, luonnikkaina, luonnikkaissa, luonnikkaisiin
 luonnollinen, luonnollisen, luonnollista, luonnollisena, luonnolliseen, luonnollisten, luonnollisia, luonnollisina, luonnollisissa, luonnollisiin
 luontainen, luontaisen, luontaista, luontaisena, luontaiseen, luontaisten, luontaisia, luontaisina, luontaisissa, luontaisiin
 luonteinen, luonteisen, luonteista, luonteisena, luonteiseen, luonteisten, luonteisia, luonteisina, luonteisissa, luonteisiin
 luonteva, luontevan, luontevaa, luontevana, luontevaan, luontevien, luontevia, luontevina, luontevissa, luonteviin
 luotaantyöntävä, luotaantyöntävän, luotaantyöntävää, luotaantyöntävänä, luotaantyöntävään, luotaantyöntävien, luotaantyöntäviä, luotaantyöntävinä, luotaantyöntävissä, luotaantyöntäviin
 luotettava, luotettavan, luotettavaa, luotettavana, luotettavaan, luotettavien, luotettavia, luotettavina, luotettavissa, luotettaviin
 luottamuksellinen, luottamuksellisen, luottamuksellista, luottamuksellisena, luottamukselliseen, luottamuksellisten, luottamuksellisia, luottamuksellisina, luottamuksellisissa, luottamuksellisiin
 luottavainen, luottavaisen, luottavaista, luottavaisena, luottavaiseen, luottavaisten, luottavaisia, luottavaisina, luottavaisissa, luottavaisiin
 luova, luovan, luovaa, luovana, luovaan, luovien, luovia, luovina, luovissa, luoviin
 lupaava, lupaavan, lupaavaa, lupaavana, lupaavaan, lupaavien, lupaavia, lupaavina, lupaavissa, lupaaviin
